"year","biggest_event","darkest_joke"
"1907","""The Panic of 1907, a severe financial crisis in the United States that led to the creation of the Federal Reserve System.""","""Why did the 1907 bankers prefer track over field events? Because they’d already mastered the *bank run* and perfected the *savings vault toss*."""
"1906","""The 1906 San Francisco earthquake, a major seismic event with a magnitude of 7.9, struck on April 18, causing widespread devastation, fires, and the deaths of over 3,000 people.""","""Why did 1906 San Francisco residents have the best view of the city? Because the earthquake and fires finally cleared out all the 'historic' buildings... and half the population."""
"1905","""Albert Einstein published his theory of special relativity and the famous equation E=mc² in 1905, revolutionizing modern physics.""","""1905: When Einstein figured out mass could turn into energy, humanity took it as a challenge to see how many souls we could convert into shadows by 1945."""
"1904","""The most famous event of 1904 was the outbreak of the Russo-Japanese War, a conflict between the Russian Empire and the Empire of Japan over rival imperial ambitions in Manchuria and Korea, marking the first major military victory in the modern era of an Asian power over a European one.""","""Why was 1904 the year humanity realized we’d perfected tragedy? Because even the Titanic’s future iceberg was just taking notes from the General Slocum’s 'hold my boiler' moment."""
"1903","""The Wright brothers achieved the first controlled, sustained flight of a powered aircraft on December 17, 1903, in Kitty Hawk, North Carolina, marking a pivotal moment in aviation history.""","""Why did the Wright brothers’ first flight seem so optimistic in 1903? Because they hadn’t yet realized humanity would use their invention to drop bombs instead of dreams."""
"1902","""The eruption of Mount Pelée on May 8, 1902, in Martinique, which destroyed the town of Saint-Pierre and killed approximately 30,000 people, stands as one of the deadliest volcanic disasters in history.""","""Why did 1902 parents get their kids Teddy Bears? So they could hold onto something before falling asleep... or falling ash."""
"1901","""The first Nobel Prizes were awarded in 1901, following the establishment of the prizes by Alfred Nobel's will.""","""In 1901, the Nobel Prize was established, giving humanity a prestigious way to honor our greatest minds—just in time to distract from the fact that the 20th century’s body count had already started rehearsing."""
"1900","""The Boxer Rebellion reached its peak in 1900, marking a significant anti-foreign, anti-Christian uprising in China led by the 'Boxers' (Society of Righteous and Harmonious Fists), which prompted military intervention by an Eight-Nation Alliance to suppress the rebellion.""","""Why did 1900 want a fresh start? It had 8,000 reasons to blow away the previous century—unfortunately, they were all in Galveston."""
"1899","""The start of the Second Boer War between the British Empire and the Boer states (South African Republic and Orange Free State) in October 1899, marking a major conflict in Southern Africa.""","""Why was 1899 the perfect year to practice your 'turn of the century' celebration? Because by 1900, everyone realized it was just the same old empire-building, genocide, and existential dread—but now with marginally better plumbing!"""
"1898","""The most famous event of 1898 was the Spanish-American War, which culminated in the Treaty of Paris, ending Spain's colonial empire and establishing the United States as a global power.""","""Why did 1898 give America a taste for empire? Because after the Maine course, they realized the Philippines were just a light snack... and the radiation from all that 'enlightenment' kept them glowing in the dark."""
"1897","""The discovery of the electron by J.J. Thomson in 1897, which revolutionized the understanding of atomic structure and marked a pivotal moment in the field of physics.""","""Why did the British Empire give Dracula a standing ovation in 1897? Finally, a vampire who only sucked the blood of locals and didn’t waste time annexing the whole country."""
"1896","""The first modern Olympic Games were held in Athens, Greece, in 1896, marking the revival of the ancient tradition and laying the foundation for the global sporting event.""","""Why did the Klondike prospector bring a shovel to the 1896 gold rush? Because digging his own grave was cheaper than hiring a pallbearer after the dysentery, avalanches, and hypothermia finished their punchlines first."""
"1895","""The Lumière brothers held the first public screening of films using their Cinématographe in Paris, marking the birth of cinema.""","""Why did 1895 audiences scream at the Lumière brothers' first film? They mistook the flickering shadows of progress for the approaching darkness of the 20th century—turns out, they weren’t wrong."""
"1894","""The outbreak of the First Sino-Japanese War (1894–1895), a pivotal conflict between the Qing Dynasty of China and the Empire of Japan over influence in Korea, marking Japan's emergence as a major imperial power.""","""Why did 1894 feel like the perfect year to be wrongfully accused of treason? Because between the Dreyfus Affair and the Tower of London, you could lose your head *and* your dignity before anyone bothered to check the evidence."""
"1893","""The World's Columbian Exposition (Chicago World's Fair) opened in Chicago, USA, celebrating the 400th anniversary of Christopher Columbus's arrival in the Americas and showcasing technological and cultural innovations.""","""Why did the optimistic investor bring a coffin to the Chicago World's Fair? To capitalize on the Panic of 1893: one way or another, someone was going to need a long-term investment."""
